card_name,rate,january_bank,january_google,february_bank,february_google,march_bank,march_google,april_bank,april_google,may_bank,may_google,june_bank,june_google
Freedom,5%,Grocery Stores(Exluding Walmart & Target),grocery_or_supermarket,Grocery Stores(Exluding Walmart & Target),grocery_or_supermarket,Grocery Stores(Exluding Walmart & Target),grocery_or_supermarket,Restaurants,restaurant,Restaurants,restaurant,Restaurants,restaurant
Freedom,5%,Movie Theatres,movie_theater,Movie Theatres,movie_theater,Movie Theatres,movie_theater,Bed Bath & Beyond,Bed Bath & Beyond,Bed Bath & Beyond,Bed Bath & Beyond,Bed Bath & Beyond,Bed Bath & Beyond
Freedom,5%,Starbucks,Starbucks,Starbucks,Starbucks,Starbucks,Starbucks,H&M,H&M,H&M,H&M,H&M,H&M
Freedom,5%,,,,,,,Overstock.com,Overstock.com,Overstock.com,Overstock.com,Overstock.com,Overstock.com
Freedom,1%,others,,others,,others,,others,,others,,others,
Freedom,1%,Walmart,,Walmart,,Walmart,,,,,,,
Freedom,1%,Target,,Target,,Target,,,,,,,
Discover,5%,Gas Station,gas_station,Gas Station,gas_station,Gas Station,gas_station,Restaurants,restaurant,Restaurants,restaurant,Restaurants,restaurant
Discover,5%,Ground Transportation,transit_station,Ground Transportation,transit_station,Ground Transportation,transit_station,Movies,movie_theater,Movies,movie_theater,Movies,movie_theater
Discover,5%,Ground Transportation,train_station,Ground Transportation,train_station,Ground Transportation,train_station,,,,,,
Discover,5%,Ground Transportation,bus_station,Ground Transportation,bus_station,Ground Transportation,bus_station,,,,,,
Discover,5%,Ground Transportation,subway_station,Ground Transportation,subway_station,Ground Transportation,subway_station,,,,,,
Discover,5%,Ground Transportation,taxi_stand,Ground Transportation,taxi_stand,Ground Transportation,taxi_stand,,,,,,
Discover,1%,others,,others,,others,,others,,others,,others,
Citi¨ Double Cash Card,2%,all,,all,,all,,all,,all,,all,
BOA Cash Rewards,3%,Grocery,grocery_or_supermarket,Grocery,grocery_or_supermarket,Grocery,grocery_or_supermarket,Grocery,grocery_or_supermarket,Grocery,grocery_or_supermarket,Grocery,grocery_or_supermarket
BOA Cash Rewards,2%,gas station,gas_station,gas station,gas_station,gas station,gas_station,gas station,gas_station,gas station,gas_station,gas station,gas_station
BOA Cash Rewards,1%,others,,others,,others,,others,,others,,others,
